Dev,Name,Address,City,GP_COMPLY,Z_COMPLY,TOD,PLAN_AREA,DU,MKT,AFH,SB35,SB330,AB1763,AB2162,AB2345,AB2372,AB3194,Submitted,Approved
SilconSage Buildinger,510 S. Mathilda Ave.,510 S. Mathilda Ave.,Sunnyvale,N,N,Y,Y,54,47,7,,,,,,,,11/16/16,
Siliconsage Builders,528 S. Mathilda Ave.,528 S. Mathilda Ave.,Sunnyvale,N,N,Y,Y,54,47,7,,,,,,,,11/16/16,
Irvine Company,1 AMD Place,1 AMD Place,Sunnyvale,Y,N,N,Y,1074,940,134,,,,,,,,11/30/16,4/23/19
Highland Partners Group Inc.,1023 N. Fair Oaks Ave.,1023 N. Fair Oaks Ave.,Sunnyvale,Y,Y,N,N,14,12,2,,,,,,,,12/14/16,11/27/17
"Lane Partners, LLC",311 S. Mathilda Ave.,311 S. Mathilda Ave.,Sunnyvale,Y,Y,Y,Y,75,66,9,,,,,Y,,,5/9/17,9/11/18
Toll Brothers,370 San Aleso Ave.,370 San Aleso Ave.,Sunnyvale,Y,Y,N,Y,65,57,8,,,,,,,,12/6/17,8/27/18
Tapiti Inc.,210 and 214 W. Ahwanee Ave.,210 and 214 W. Ahwanee Ave.,Sunnyvale,Y,Y,N,N,24,21,3,,,,,,,,1/3/18,8/10/20
Olympic Residential Group,1155 Aster Ave.,1155 Aster Ave.,Sunnyvale,Y,Y,Y,Y,763,667,96,,,,,,,,1/5/18,2/11/19
"Levy Design Partners, Toby Levy",1162 Sunnyvale-Saratoga Rd.,1162 Sunnyvale-Saratoga Rd.,Sunnyvale,Y,Y,N,N,23,20,3,,,,,,,,2/15/18,
Samir Sharma,220 Carroll St.,220 Carroll St.,Sunnyvale,Y,Y,Y,Y,16,14,2,,,,,,,,3/27/18,12/14/20
Trumark Homes,1142 Dahlia Ct.,1142 Dahlia Ct.,Sunnyvale,Y,Y,N,N,58,51,7,,,,,,,,10/16/18,3/11/19
Related,Block 15,365 Mathilda Ave,Sunnyvale,Y,Y,Y,Y,90,0,90,,,,,,,,11/13/18,4/27/20
Summerhill Homes,925 S. Wolfe Rd.,925 S. Wolfe Rd.,Sunnyvale,Y,Y,N,N,130,114,16,,,,,,,,2/26/19,10/14/19
The Related Companies of CA,365 S. Mathilda Ave.,365 S. Mathilda Ave.,Sunnyvale,Y,Y,Y,Y,89,0,89,,,,,,,,4/10/19,4/27/20
The Sobrato Organization,1139 Karlstad Dr.,1139 Karlstad Dr.,Sunnyvale,Y,Y,N,N,135,118,17,,,,,,,,7/26/19,8/23/19
First Community Housing,245 W Weddell,245 W Weddell Dr,Sunnyvale,Y,Y,N,Y,123,0,123,,,,,,,,11/6/19,
MidPen,1178 Sonora Ct.,1178 Sonora Ct.,Sunnyvale,Y,Y,Y,Y,177,2,175,,,,,,,,1/15/20,
Young and Bourlik Architects,1576 Hollenbeck Ave.,1576 Hollenbeck Ave.,Sunnyvale,Y,Y,N,N,14,12,2,,,,,Y,,,2/26/20,
STC Venture LLC Travis Duncan,200 S. Taaffe St.,200 S. Taaffe St.,Sunnyvale,Y,Y,Y,Y,479,419,60,,,,,,,,5/14/20,1/11/21
The True Life Companies,166 E Fremont Ave,166 E Fremont Ave,Sunnyvale,Y,N,N,N,141,123,18,,Y,,,,,,8/28/20,2/26/21
Pacific General Construction,1202 Kifer Rd,1202 Kifer Rd,Sunnyvale,Y,Y,Y,Y,28,24,4,,,,,,,,2/17/21,
"TTLC Sunnyvale FC, LLC",102 E Fremont Ave,102 E Fremont Ave,Sunnyvale,Y,Y,Y,Y,35,30,5,,Y,,,,,,3/5/21,
Eden,Sacramento Street,2134 Sacramento St,Vallejo,Y,Y,N,N,75,1,74,Y,,,Y,,,,7/16/20,10/29/20
RCD,Ygnacio,699 Ygnacio,Walnut Creek,Y,Y,Y,Y,97,1,96,Y,,Y,,,,,11/10/20,3/18/21
